step,fire_size,cluster distr,mean tree density
0,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",0.12
1,"[1, 3, 1, 1, 1, 2, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.1875
2,"[1, 1, 8, 3, 2, 3, 7, 4, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 4, 1, 1, 1, 1, 1]",0.2525
3,"[5, 3, 1, 5, 2, 1, 1, 3, 4, 3, 1, 1]","[1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 3, 4, 1, 1, 1, 1]",0.2375
4,"[1, 5, 1, 2, 4, 1, 1, 3, 1]","[1, 4, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 10, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.245
5,"[5, 1, 4, 14, 2, 2, 1, 1, 1, 5, 3]","[1, 8, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 4, 4, 4, 1, 1, 1, 1, 2, 1, 2, 12, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1]",0.3
6,"[9, 3, 1, 1, 2, 1, 8, 3, 16]","[1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 4, 4, 4, 1, 3, 2, 1, 1, 4, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1]",0.2825
7,"[5, 14, 4, 4, 5, 3, 3, 1]","[1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 3, 1, 3, 1, 1, 1, 1, 2, 1, 1, 5, 1, 1, 2, 1, 10, 1, 8, 1, 1]",0.2525
8,"[2, 2, 1, 7, 2, 6, 1, 2, 7]","[3, 1, 1, 1, 4, 1, 4, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4, 1, 1, 1, 1, 1, 1, 11, 2, 8, 1, 2, 1]",0.255
9,"[2, 5, 2, 1, 1, 1, 4, 1, 3, 2]","[1, 1, 3, 2, 1, 1, 2, 4, 3, 1, 1, 2, 1, 1, 4, 1, 1, 2, 1, 1, 5, 1, 1, 1, 1, 2, 1, 3, 4, 1, 1, 1, 1, 3, 1, 1, 1, 11, 1, 8, 1, 1]",0.2675
