step,fire_size,cluster distr,mean tree density
0,[],"[1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.08
1,[1],"[1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 3, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 5, 1, 1, 2, 1, 2, 1, 1, 1]",0.18
2,[],"[2, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 3, 1, 2, 1, 4, 3, 3, 1, 1, 1, 1, 2, 3, 2, 1, 4, 5, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 4, 1, 1, 3, 1, 1, 8, 2, 1, 2, 2, 1, 1, 1]",0.255
3,[],"[2, 1, 4, 2, 1, 1, 2, 1, 8, 4, 2, 1, 1, 1, 1, 6, 1, 5, 4, 1, 1, 1, 1, 1, 1, 3, 3, 2, 1, 6, 6, 3, 6, 1, 1, 4, 1, 1, 1, 1, 3, 1, 1, 4, 1, 1, 3, 1, 1, 11, 2, 2, 2, 2, 3, 1, 1, 2]",0.34
4,[6],"[2, 1, 4, 4, 1, 1, 2, 1, 14, 3, 1, 1, 1, 1, 1, 6, 1, 8, 4, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 6, 3, 6, 1, 1, 4, 1, 1, 3, 1, 5, 11, 1, 1, 1, 3, 2, 12, 2, 3, 2, 3, 1, 2]",0.3875
5,[],"[9, 4, 1, 1, 2, 19, 4, 1, 1, 1, 1, 1, 11, 11, 1, 1, 1, 1, 1, 1, 8, 3, 1, 5, 7, 7, 1, 4, 1, 8, 2, 3, 1, 12, 4, 1, 3, 13, 3, 5, 4, 4, 1]",0.435
6,[],"[37, 2, 4, 4, 4, 1, 1, 1, 44, 1, 2, 1, 1, 1, 3, 4, 1, 26, 7, 4, 1, 9, 2, 4, 1, 5, 1, 12, 15, 5]",0.51
7,[],"[49, 5, 4, 1, 1, 2, 86, 2, 1, 7, 3, 3, 9, 1, 1, 9, 8, 1, 13, 15, 5]",0.565
8,[],"[62, 5, 4, 3, 2, 118, 3, 4, 1, 1, 8, 1, 14, 15]",0.6025
9,[],"[202, 5, 4, 3, 1, 1, 1, 9, 2, 16, 15]",0.6475
10,[],"[237, 5, 4, 1, 12, 16]",0.6875
11,[],"[276, 5, 4, 1]",0.715
12,[],"[294, 5]",0.7475
13,[],"[299, 5]",0.76
14,[],[309],0.7725
15,[],[321],0.8025
16,[333],[],0.8325
17,[],"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",0.09
18,[],"[1, 4, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 2, 2, 3, 1, 2, 1, 2, 1, 1, 2, 4, 1, 4, 2, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1]",0.1825
19,[],"[1, 1, 4, 1, 1, 3, 2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 5, 1, 4, 3, 4, 3, 1, 2, 1, 1, 2, 1, 6, 1, 5, 2, 1, 1, 2, 3, 1, 1, 3, 1, 2, 2, 1, 1, 1, 1]",0.25
20,[],"[2, 9, 1, 4, 1, 1, 9, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 5, 1, 2, 5, 1, 9, 3, 3, 1, 1, 6, 1, 1, 2, 1, 7, 1, 6, 5, 5, 1, 1, 1, 3, 1, 2, 2, 2, 2, 1]",0.335
21,[5],"[2, 12, 1, 4, 11, 1, 1, 3, 2, 1, 4, 1, 2, 3, 2, 1, 19, 2, 2, 1, 1, 2, 1, 2, 1, 14, 6, 1, 1, 1, 1, 1, 1, 7, 2, 7, 2, 5, 5, 1, 1, 1, 1, 3, 1, 5, 2, 2, 1, 2]",0.4025
22,[],"[2, 15, 5, 37, 1, 3, 2, 1, 5, 1, 2, 3, 2, 1, 3, 2, 1, 1, 2, 1, 1, 3, 1, 30, 18, 1, 1, 1, 1, 1, 2, 1, 2, 13, 1, 1, 1, 1, 3, 1, 5, 2, 1, 2]",0.46
23,[],"[2, 32, 37, 2, 8, 2, 7, 2, 1, 49, 1, 1, 1, 1, 2, 21, 1, 1, 22, 1, 2, 1, 1, 1, 1, 1, 5, 4, 1, 2]",0.5325
24,[],"[2, 52, 130, 2, 2, 1, 1, 1, 1, 1, 4, 22, 1, 1, 2, 1, 1, 1, 1, 1, 4, 1, 1]",0.585
25,[],"[2, 236, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1]",0.6425
26,[],"[2, 261, 1, 1, 4, 1, 2]",0.68
27,[],"[2, 284, 1, 2]",0.7225
28,[],"[2, 290, 1, 2]",0.7375
29,[],"[2, 299, 1, 2]",0.76
