step,fire_size,cluster distr,mean tree density
0,[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1]",0.09888888888888889
1,[],"[1, 2, 2, 1, 3, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 2, 3, 1, 1, 4, 1, 1, 1, 1, 5, 1, 2, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 9, 4, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 4, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 4, 2, 2, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1]",0.18888888888888888
2,[],"[1, 2, 1, 1, 5, 2, 1, 2, 1, 2, 4, 3, 1, 1, 1, 1, 5, 1, 1, 1, 5, 1, 1, 1, 6, 2, 1, 1, 2, 5, 1, 1, 1, 4, 1, 1, 1, 1, 1, 5, 1, 3, 1, 3, 9, 1, 1, 1, 6, 2, 1, 1, 1, 1, 1, 1, 1, 10, 1, 4, 7, 1, 1, 2, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 2, 1, 3, 1, 2, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 2, 2, 6, 1, 9, 1, 4, 5, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2]",0.27444444444444444
3,[1],"[1, 4, 1, 1, 1, 6, 3, 1, 2, 1, 2, 4, 4, 1, 3, 1, 2, 7, 2, 1, 14, 1, 1, 1, 10, 1, 1, 1, 2, 10, 2, 1, 2, 1, 2, 1, 5, 1, 12, 1, 4, 1, 3, 1, 1, 1, 1, 7, 2, 1, 1, 1, 1, 5, 7, 1, 1, 23, 9, 1, 1, 5, 1, 3, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 2, 1, 4, 1, 2, 2, 2, 2, 1, 2, 8, 1, 2, 1, 1, 1, 1, 1, 1, 2, 10, 1, 9, 1, 5, 9, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2]",0.3522222222222222
4,[],"[3, 4, 1, 1, 1, 15, 3, 1, 2, 1, 18, 4, 5, 1, 3, 1, 2, 1, 2, 2, 7, 1, 1, 10, 1, 2, 37, 2, 1, 1, 1, 2, 5, 1, 2, 1, 14, 1, 1, 1, 3, 1, 1, 1, 10, 2, 1, 1, 31, 1, 1, 1, 1, 9, 1, 1, 1, 5, 1, 3, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 7, 1, 1, 1, 1, 2, 10, 1, 2, 3, 1, 1, 3, 2, 1, 1, 10, 1, 14, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 9, 1, 5, 10, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 4, 2, 1]",0.41333333333333333
5,[],"[4, 4, 1, 1, 1, 17, 1, 3, 2, 2, 1, 20, 4, 5, 4, 1, 3, 1, 1, 2, 3, 1, 9, 1, 2, 12, 1, 1, 4, 42, 5, 1, 2, 5, 1, 2, 17, 1, 1, 2, 3, 1, 3, 1, 10, 1, 1, 1, 39, 1, 1, 1, 2, 16, 1, 1, 5, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 2, 11, 1, 2, 3, 1, 6, 2, 12, 1, 18, 1, 1, 1, 1, 1, 3, 1, 3, 9, 1, 5, 10, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 3, 4, 1, 2]",0.47
6,[],"[4, 7, 1, 1, 1, 3, 83, 1, 3, 2, 21, 6, 15, 4, 3, 1, 2, 17, 1, 3, 1, 1, 1, 5, 2, 5, 1, 6, 85, 1, 13, 3, 1, 1, 1, 1, 1, 1, 1, 23, 1, 1, 1, 5, 2, 3, 1, 1, 1, 1, 1, 4, 13, 1, 30, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 5, 1, 1, 3, 1, 5, 11, 1, 1, 2, 3, 1, 1, 1, 1, 3, 4, 1, 2]",0.5155555555555555
7,[],"[65, 1, 1, 1, 263, 2, 4, 1, 3, 1, 1, 1, 6, 2, 5, 18, 10, 1, 1, 1, 1, 1, 7, 28, 5, 3, 1, 1, 1, 4, 13, 1, 1, 3, 1, 3, 3, 1, 1, 1, 1, 3, 1, 5, 13, 1, 2, 6, 1, 1, 3, 4, 1, 1, 2]",0.57
8,[434],"[1, 1, 1, 2, 5, 5, 3, 1, 2, 5, 19, 10, 1, 1, 1, 1, 8, 5, 1, 1, 1, 4, 3, 1, 1, 1, 1, 16, 1, 2, 6, 6, 1, 1, 1]",0.6155555555555555
9,[],"[1, 1, 2, 1, 3, 1, 2, 1, 1, 11, 1, 3, 1, 6, 2, 1, 1, 1, 1, 1, 17, 1, 2, 5, 20, 1, 1, 1, 3, 1, 4, 1, 9, 1, 1, 5, 1, 1, 1, 1, 2, 1, 1, 1, 6, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 18, 1, 1, 1, 1, 2, 6, 1, 1, 6, 1, 3, 1, 1, 1, 1]",0.21444444444444444
10,[],"[1, 3, 1, 1, 2, 1, 3, 1, 2, 1, 1, 14, 1, 2, 3, 1, 6, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 64, 1, 2, 5, 1, 2, 1, 1, 3, 1, 1, 1, 1, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 6, 1, 3, 1, 2, 2, 1, 1, 3, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 21, 1, 4, 1, 3, 6, 1, 1, 6, 1, 1, 3, 1, 1, 1, 1, 1]",0.2866666666666667
11,[],"[1, 1, 3, 1, 1, 17, 1, 4, 1, 2, 1, 2, 1, 2, 3, 1, 8, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 68, 2, 5, 1, 1, 1, 1, 1, 5, 2, 1, 1, 1, 4, 1, 1, 5, 1, 13, 1, 1, 1, 2, 1, 2, 4, 1, 1, 1, 2, 1, 3, 2, 1, 1, 8, 1, 5, 1, 3, 2, 2, 1, 1, 3, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 22, 1, 1, 4, 1, 2, 1, 3, 7, 1, 1, 1, 7, 1, 1, 3, 3, 1, 1, 1, 1]",0.34555555555555556
12,[],"[4, 4, 1, 1, 23, 1, 1, 4, 2, 3, 14, 1, 3, 8, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 75, 2, 6, 1, 1, 1, 1, 10, 2, 1, 1, 2, 4, 1, 5, 15, 1, 1, 1, 1, 1, 5, 1, 1, 2, 6, 1, 1, 2, 3, 1, 1, 3, 14, 1, 1, 5, 1, 5, 3, 2, 3, 1, 1, 1, 1, 1, 1, 1, 3, 2, 25, 1, 4, 1, 1, 4, 1, 1, 3, 9, 1, 3, 1, 7, 3, 3, 3, 1, 1]",0.4077777777777778
13,[],"[16, 9, 1, 1, 28, 1, 3, 4, 3, 18, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 79, 6, 1, 1, 2, 1, 1, 32, 1, 2, 1, 1, 3, 4, 2, 1, 2, 1, 1, 1, 6, 1, 1, 9, 2, 3, 5, 1, 1, 1, 3, 25, 1, 5, 1, 5, 3, 2, 3, 1, 6, 1, 1, 7, 3, 3, 2, 29, 1, 14, 1, 9, 3, 1, 3, 3, 3, 1, 1]",0.46
14,[],"[19, 9, 1, 34, 33, 6, 3, 3, 1, 1, 1, 1, 1, 1, 7, 1, 1, 94, 3, 2, 1, 1, 47, 1, 3, 7, 3, 2, 4, 1, 1, 3, 6, 1, 1, 1, 1, 1, 3, 26, 1, 5, 7, 3, 2, 8, 42, 10, 1, 19, 1, 1, 9, 3, 4, 1, 3, 3, 1]",0.5111111111111111
15,[],"[21, 12, 1, 79, 1, 6, 4, 2, 1, 1, 1, 60, 1, 1, 113, 2, 1, 1, 3, 10, 3, 1, 1, 4, 10, 1, 1, 1, 35, 1, 1, 3, 20, 1, 5, 2, 42, 11, 1, 20, 1, 10, 1, 8, 4]",0.5655555555555556
