step,fire_size,cluster distr,mean tree density
0,[],"[1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0.105
1,[1],"[1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 3, 1, 2, 1, 1, 1, 1, 3, 8, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0.175
2,[],"[1, 1, 5, 3, 2, 1, 1, 1, 4, 1, 1, 3, 1, 2, 3, 3, 2, 1, 1, 1, 3, 2, 9, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 1, 2, 3, 1, 1, 1]",0.235
3,[],"[2, 1, 8, 3, 2, 4, 1, 5, 3, 1, 6, 4, 2, 1, 3, 2, 1, 2, 1, 14, 2, 3, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 4, 1, 1, 4, 1, 1, 3, 1, 1, 1, 3, 2, 3, 1, 4, 1, 1, 1]",0.3025
4,"[5, 5, 2, 3, 16]","[3, 2, 10, 3, 1, 4, 1, 6, 5, 3, 1, 3, 1, 2, 2, 2, 2, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 7, 1, 1, 5, 1, 2, 3, 1, 1, 1, 1, 3, 2, 1, 2, 3, 1, 1, 4, 1, 1]",0.355
5,[],"[16, 2, 10, 1, 5, 1, 1, 1, 5, 3, 1, 1, 4, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 4, 1, 7, 1, 1, 1, 12, 1, 1, 4, 5, 1, 1, 1, 1, 1, 3, 6, 2, 1, 4, 1, 1]",0.3325
6,[],"[2, 18, 2, 13, 1, 5, 1, 1, 3, 1, 13, 4, 2, 2, 1, 2, 3, 1, 2, 6, 2, 1, 1, 1, 1, 3, 1, 1, 5, 1, 7, 1, 3, 1, 12, 1, 4, 5, 1, 1, 1, 13, 4, 4, 1, 1, 1]",0.4025
7,"[37, 6]","[2, 2, 13, 1, 5, 2, 1, 1, 3, 1, 1, 5, 3, 2, 3, 9, 2, 6, 2, 1, 1, 1, 1, 1, 1, 26, 2, 8, 3, 1, 1, 4, 1, 1, 14, 4, 4, 1, 1, 1]",0.4625
8,[56],"[2, 3, 14, 7, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 6, 3, 3, 5, 10, 1, 2, 1, 1, 1, 1, 1, 1, 8, 3, 1, 1, 2, 1, 15, 1, 2, 1]",0.415
9,[],"[4, 3, 14, 8, 10, 1, 1, 2, 1, 1, 1, 1, 7, 3, 10, 1, 3, 10, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 10, 1, 4, 2, 1, 1, 1, 2, 2, 1, 15, 1, 1, 1, 3, 1, 1]",0.3575
