step,fire_size,cluster distr,mean tree density
0,[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 3, 1, 1, 1, 3, 1, 1, 2, 3, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1]",0.09625
1,[],"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 1, 1, 4, 1, 1, 2, 3, 1, 1, 1, 4, 3, 2, 1, 1, 2, 1, 1, 2, 3, 1, 2, 1, 4, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 2, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 1, 2, 3, 2, 3, 2, 1, 1, 1, 1, 2, 8, 3, 1, 1, 1, 1, 1, 1, 1, 1]",0.17625
2,[],"[1, 1, 3, 1, 1, 1, 1, 3, 4, 2, 1, 1, 1, 1, 3, 1, 2, 3, 3, 3, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 3, 3, 2, 2, 2, 1, 7, 2, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 3, 4, 3, 2, 1, 4, 1, 1, 1, 2, 5, 1, 1, 1, 4, 1, 2, 1, 4, 3, 2, 1, 4, 1, 3, 1, 1, 1, 2, 1, 1, 4, 4, 1, 1, 1, 2, 1, 10, 1, 1, 3, 2, 2, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 7, 1, 1, 1, 3, 2, 2, 1, 1, 2, 1, 4, 1, 1, 1, 1, 1, 1, 7, 1, 2, 2, 1, 2, 1, 13, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 3, 5, 1, 1, 5, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 5, 1, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1, 2, 12, 1, 3, 2, 3, 1, 1, 1, 1, 1]",0.248125
3,[],"[1, 1, 1, 3, 1, 2, 1, 1, 3, 1, 9, 2, 1, 5, 1, 1, 1, 1, 2, 1, 3, 4, 4, 2, 2, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1, 2, 5, 3, 4, 1, 8, 2, 1, 2, 1, 1, 2, 3, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 7, 2, 1, 2, 1, 3, 2, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 8, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 4, 5, 2, 2, 1, 4, 1, 1, 8, 6, 5, 1, 1, 7, 8, 1, 3, 3, 1, 2, 1, 3, 13, 5, 1, 8, 1, 3, 5, 1, 1, 1, 1, 2, 1, 1, 4, 2, 2, 1, 6, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 4, 2, 12, 1, 1, 1, 1, 2, 1, 4, 4, 1, 1, 1, 1, 20, 1, 2, 2, 1, 1, 5, 3, 11, 1, 2, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 11, 2, 5, 1, 6, 2, 12, 1, 3, 1, 1, 1, 5, 1, 2, 1, 3, 2, 1, 1, 2, 1, 2, 18, 3, 1, 1, 1, 1, 1, 1, 1]",0.32875
4,[],"[1, 1, 1, 5, 1, 2, 3, 1, 1, 5, 1, 9, 2, 1, 7, 1, 2, 1, 2, 5, 4, 2, 7, 2, 3, 1, 1, 1, 2, 2, 5, 1, 1, 3, 5, 8, 5, 1, 8, 6, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 7, 1, 1, 4, 9, 2, 2, 1, 3, 2, 4, 2, 11, 1, 4, 1, 14, 3, 1, 1, 1, 4, 4, 1, 1, 1, 1, 10, 4, 1, 1, 14, 1, 1, 2, 8, 17, 13, 1, 11, 1, 1, 4, 3, 1, 1, 3, 13, 1, 8, 1, 5, 1, 3, 2, 1, 1, 4, 7, 2, 1, 6, 1, 1, 4, 1, 1, 1, 2, 1, 12, 1, 1, 1, 1, 2, 1, 1, 4, 2, 12, 1, 1, 1, 1, 6, 1, 4, 1, 1, 1, 1, 21, 4, 2, 1, 1, 1, 5, 2, 24, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 13, 2, 5, 1, 6, 14, 1, 3, 1, 1, 1, 6, 1, 2, 1, 4, 3, 1, 1, 2, 7, 19, 4, 3, 2, 1, 2, 1, 1]",0.39625
5,[4],"[1, 1, 1, 5, 5, 1, 2, 3, 1, 1, 13, 14, 1, 7, 1, 4, 2, 5, 6, 7, 2, 3, 1, 2, 2, 8, 1, 4, 10, 7, 9, 5, 14, 1, 4, 1, 4, 1, 1, 6, 1, 1, 2, 8, 1, 1, 4, 6, 18, 2, 2, 40, 3, 2, 1, 1, 1, 1, 1, 4, 1, 1, 12, 1, 3, 1, 14, 1, 2, 9, 17, 18, 1, 12, 1, 4, 7, 1, 2, 15, 1, 11, 1, 5, 1, 4, 1, 1, 1, 4, 7, 2, 6, 1, 1, 4, 1, 1, 1, 2, 2, 15, 1, 6, 1, 2, 1, 1, 2, 19, 1, 10, 1, 1, 1, 4, 1, 2, 1, 21, 1, 5, 2, 36, 1, 4, 18, 2, 1, 1, 8, 1, 1, 3, 2, 1, 6, 1, 15, 1, 3, 9, 1, 2, 1, 31, 2, 2, 4, 7, 4, 1, 3]",0.451875
6,[33],"[1, 2, 1, 12, 17, 2, 4, 10, 19, 15, 1, 22, 2, 2, 11, 4, 19, 8, 9, 5, 1, 16, 1, 1, 5, 1, 1, 7, 1, 1, 3, 13, 4, 1, 6, 21, 2, 45, 2, 1, 1, 1, 36, 1, 15, 1, 1, 3, 1, 16, 1, 3, 23, 15, 1, 6, 7, 1, 2, 18, 1, 1, 2, 5, 1, 1, 1, 4, 14, 3, 18, 1, 1, 4, 1, 1, 96, 1, 32, 1, 2, 2, 1, 2, 1, 1, 1, 6, 2, 19, 2, 1, 1, 8, 1, 1, 3, 3, 1, 7, 1, 1, 3, 1, 2, 1, 33, 5, 4, 10, 4, 1, 3]",0.505
7,[75],"[1, 1, 2, 1, 40, 7, 43, 1, 18, 26, 2, 2, 27, 8, 12, 5, 18, 1, 1, 5, 1, 1, 1, 1, 13, 8, 4, 1, 91, 2, 1, 17, 1, 4, 1, 1, 26, 3, 1, 3, 16, 1, 8, 1, 2, 1, 1, 2, 5, 1, 1, 1, 18, 3, 1, 18, 1, 1, 4, 1, 1, 1, 155, 1, 35, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 7, 1, 1, 1, 20, 3, 1, 1, 1, 16, 1, 1, 8, 1, 1, 1, 1, 2, 4, 10, 4, 1]",0.5375
8,[],"[1, 1, 31, 1, 110, 8, 46, 20, 5, 1, 8, 13, 33, 1, 5, 3, 8, 151, 2, 1, 1, 1, 1, 1, 4, 1, 1, 2, 87, 1, 1, 4, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 18, 1, 1, 4, 1, 1, 1, 200, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 17, 1, 1, 10, 1, 1, 1, 1, 2, 4, 4, 1]",0.541875
9,[],"[1, 1, 662, 1, 22, 33, 1, 4, 5, 14, 2, 2, 1, 118, 1, 1, 1, 2, 1, 2, 4, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 3, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 5, 5, 1]",0.58625
