step,fire_size,cluster distr,mean tree density
0,[],"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 2, 3, 1, 2, 1, 1, 1, 5, 1, 1, 2, 2, 1, 1, 1]",0.10666666666666667
1,[],"[1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 4, 3, 2, 7, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 6, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1]",0.19444444444444445
2,[],"[1, 2, 1, 3, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 4, 1, 4, 1, 1, 7, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 9, 4, 3, 2, 1, 1, 1, 5, 1, 2, 2, 1, 1, 1, 1, 2, 1, 4, 1, 1, 3, 1, 1, 2, 1, 1, 1, 3, 8, 1, 2, 5, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 6, 6, 4, 4, 2, 8, 1, 2, 2, 1, 1, 1, 2, 6, 4, 1, 1, 1, 1, 3, 6, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",0.2733333333333333
3,[],"[1, 2, 5, 3, 1, 2, 1, 1, 1, 1, 2, 6, 2, 1, 1, 1, 3, 2, 1, 6, 1, 1, 1, 1, 5, 1, 1, 5, 13, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 10, 4, 5, 3, 1, 1, 5, 2, 4, 1, 1, 1, 1, 5, 2, 7, 2, 1, 10, 1, 2, 2, 1, 2, 7, 3, 1, 9, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 20, 1, 15, 1, 2, 1, 7, 4, 5, 2, 1, 1, 2, 2, 1, 1, 1, 3, 3, 7, 4, 1, 1, 1, 3, 5, 1, 1, 6, 1, 2, 1, 1, 1, 1, 2]",0.3477777777777778
4,[],"[1, 1, 1, 2, 5, 14, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 8, 2, 1, 3, 1, 1, 1, 10, 1, 1, 5, 26, 1, 4, 1, 1, 10, 11, 1, 1, 11, 3, 1, 5, 3, 4, 2, 13, 1, 5, 2, 7, 1, 1, 1, 2, 2, 1, 15, 9, 4, 1, 2, 1, 5, 1, 3, 1, 6, 1, 1, 1, 1, 1, 23, 1, 21, 2, 12, 1, 8, 2, 1, 2, 2, 1, 4, 1, 3, 3, 4, 7, 4, 1, 1, 11, 1, 2, 1, 6, 1, 2, 3, 3, 1, 1, 1]",0.43222222222222223
5,[],"[1, 1, 1, 2, 8, 18, 1, 4, 12, 2, 1, 1, 5, 3, 8, 2, 1, 1, 8, 1, 10, 1, 38, 1, 6, 1, 2, 14, 11, 3, 1, 8, 3, 5, 26, 33, 5, 2, 7, 1, 17, 2, 4, 5, 1, 1, 5, 3, 2, 2, 1, 26, 27, 11, 2, 1, 2, 1, 2, 1, 9, 14, 3, 3, 7, 8, 4, 1, 3, 1, 8, 4, 1, 1, 1, 1]",0.49333333333333335
6,[],"[2, 1, 2, 2, 9, 43, 1, 4, 13, 2, 1, 13, 1, 10, 1, 85, 1, 23, 2, 14, 3, 1, 8, 3, 46, 7, 2, 1, 24, 4, 1, 5, 34, 2, 2, 1, 27, 11, 13, 1, 27, 1, 25, 3, 3, 1, 3, 1, 2, 1, 1, 1]",0.55
7,[],"[17, 6, 2, 9, 149, 1, 4, 2, 1, 27, 1, 1, 25, 2, 3, 1, 16, 3, 51, 7, 2, 1, 68, 5, 2, 27, 12, 14, 1, 27, 1, 25, 3, 1, 3, 1, 1, 3]",0.5833333333333334
8,[],"[52, 9, 3, 9, 334, 1, 1, 2, 1, 1, 3, 57, 7, 60, 14, 1, 1, 5, 1, 1, 3]",0.6288888888888889
9,[],"[551, 1, 9, 13, 1, 1, 2, 1, 1, 3, 15, 1, 1, 3]",0.67
