step,fire_size,cluster distr,mean tree density
0,[],"[1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1]",0.13
1,[],"[1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1]",0.19
2,[],"[1, 1, 1, 1, 1, 1, 2, 2, 4, 2, 1, 1, 1, 5, 2, 1]",0.27
3,[],"[4, 1, 1, 1, 2, 3, 9, 2, 1, 7, 1, 2]",0.34
4,[],"[4, 1, 1, 1, 1, 3, 3, 3, 9, 1, 7, 1, 3]",0.38
5,[],"[22, 1, 4, 1, 4, 9, 1, 2, 3]",0.47
6,[],"[22, 1, 4, 1, 4, 9, 1, 2, 3]",0.47
7,[],"[38, 6, 1, 4, 1, 2, 4]",0.56
8,[],"[56, 6, 1]",0.63
9,[],"[66, 1]",0.67
10,[],[74],0.74
11,[],[78],0.78
12,[],[83],0.83
13,[],[86],0.86
14,[],[90],0.9
15,[],[90],0.9
16,[],[90],0.9
17,[],[91],0.91
18,[],[92],0.92
19,[],[94],0.94
20,[],[94],0.94
21,[],[94],0.94
22,[],[94],0.94
23,[],[95],0.95
24,[],[96],0.96
25,[],[96],0.96
26,[],[96],0.96
27,[],[98],0.98
28,[],[98],0.98
29,[],[99],0.99
30,[],[99],0.99
31,[],[99],0.99
32,[],[99],0.99
33,[],[99],0.99
34,[99],[],0.99
35,[],"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.11
36,[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1]",0.15
37,[],"[4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1]",0.22
38,[],"[1, 4, 1, 1, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4]",0.29
39,[],"[1, 6, 1, 1, 2, 6, 1, 1, 2, 1, 5, 1, 1, 4, 1]",0.34
40,[],"[1, 6, 1, 1, 8, 2, 1, 1, 7, 1, 3, 1, 1, 1, 4, 1, 1]",0.41
41,[],"[1, 6, 1, 1, 8, 2, 1, 10, 5, 1, 1, 1, 5, 1, 1]",0.45
42,[],"[1, 6, 1, 1, 8, 2, 1, 10, 5, 1, 1, 7, 1, 1]",0.46
43,[],"[1, 6, 9, 1, 1, 2, 1, 7, 14, 1, 7, 1, 1]",0.52
44,[],"[1, 6, 9, 1, 1, 2, 1, 7, 14, 1, 7, 1, 1]",0.52
45,[],"[2, 43, 1, 1, 1, 1, 7, 1]",0.57
46,[],"[2, 47, 1, 1, 1, 8, 1]",0.61
47,[],"[2, 48, 1, 1, 1, 8, 1]",0.62
48,[],"[58, 1, 1, 9, 1]",0.7
49,[],"[70, 1, 1]",0.72
50,[],"[74, 1]",0.75
51,[],"[76, 1]",0.77
52,[],[82],0.82
53,[],[86],0.86
54,[],[89],0.89
55,[],[89],0.89
56,[],[90],0.9
57,[],[92],0.92
58,[],[92],0.92
59,[],[92],0.92
60,[],[92],0.92
61,[],[92],0.92
62,[],[93],0.93
63,[],[93],0.93
64,[],[95],0.95
65,[],[95],0.95
66,[],[95],0.95
67,[],[95],0.95
68,[],[95],0.95
69,[],[95],0.95
70,[],[96],0.96
71,[],[96],0.96
72,[],[97],0.97
73,[],[97],0.97
74,[],[97],0.97
75,[],[97],0.97
76,[],[98],0.98
77,[98],[],0.98
78,[],"[1, 2, 1, 2, 1, 1]",0.08
79,[],"[1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",0.14
80,[],"[2, 1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1]",0.22
81,[],"[1, 2, 1, 1, 2, 2, 1, 8, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",0.29
82,[],"[1, 2, 1, 1, 1, 3, 4, 1, 8, 1, 1, 5, 3, 1, 1, 1]",0.35
83,[],"[1, 2, 1, 1, 1, 15, 4, 1, 3, 9, 1, 1]",0.4
84,[],"[1, 2, 1, 1, 1, 26, 4, 1, 1, 3, 1, 1]",0.43
85,[],"[1, 3, 1, 1, 1, 1, 39, 4, 1, 1]",0.53
86,[],"[3, 9, 1, 1, 41, 1, 1]",0.57
87,[],"[3, 10, 1, 1, 42, 1, 1]",0.59
88,[],"[3, 10, 1, 1, 44, 1]",0.6
89,[],"[3, 59, 1, 1, 1]",0.65
90,[],"[3, 59, 1, 1, 1]",0.65
91,[],"[5, 59, 1, 1]",0.66
92,[],"[5, 59, 1, 1]",0.66
93,[],"[5, 63, 1, 1]",0.7
94,[],"[72, 1, 1]",0.74
95,[],"[78, 1]",0.79
96,[78],[1],0.79
97,[],"[2, 1, 1, 1, 1, 1, 1, 1]",0.09
98,[],"[1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.19
99,[],"[5, 3, 3, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1]",0.27
