step,fire_size,cluster distr,mean tree density
0,[],"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 6, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 5, 1, 1, 1, 2, 2, 1, 1, 1]",0.1
1,[],"[1, 5, 3, 1, 2, 2, 1, 2, 1, 8, 1, 1, 1, 2, 1, 3, 1, 1, 2, 5, 1, 1, 4, 1, 1, 2, 1, 1, 4, 3, 1, 1, 3, 1, 1, 2, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 3, 2, 2, 1, 1, 1, 3, 1, 2, 3, 7, 1, 1, 4, 1, 4, 1, 1, 3, 1, 1, 1, 10, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 6, 2, 1, 1, 3, 1, 1, 1, 2, 2, 1, 4, 1, 2, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 13, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 4, 1, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1]",0.2025
2,[],"[1, 10, 3, 1, 2, 2, 2, 3, 1, 2, 1, 9, 1, 1, 1, 1, 2, 1, 1, 2, 9, 7, 1, 4, 1, 1, 6, 1, 1, 9, 1, 1, 5, 1, 2, 8, 1, 4, 1, 1, 1, 1, 2, 2, 1, 1, 2, 3, 4, 1, 3, 1, 1, 4, 1, 4, 1, 9, 1, 2, 7, 1, 1, 8, 1, 1, 1, 1, 4, 1, 1, 10, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 5, 1, 1, 1, 3, 2, 1, 11, 2, 2, 1, 1, 3, 1, 2, 1, 3, 2, 2, 1, 6, 1, 1, 3, 4, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 6, 1, 1, 3, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 4, 1, 15, 2, 1, 1, 1, 2, 1, 1, 2, 1, 6, 1, 2, 2, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 6, 1, 3, 1, 1, 3, 3, 1, 1, 1, 3, 1, 1, 1]",0.266875
3,[],"[1, 11, 3, 1, 1, 2, 2, 3, 3, 1, 2, 1, 9, 1, 1, 1, 2, 4, 1, 1, 1, 1, 3, 17, 1, 2, 4, 7, 9, 3, 1, 10, 1, 1, 2, 9, 6, 1, 1, 7, 1, 1, 1, 1, 1, 2, 13, 1, 3, 12, 4, 3, 1, 1, 4, 25, 1, 1, 1, 13, 1, 1, 1, 3, 1, 4, 1, 1, 3, 1, 3, 2, 4, 1, 6, 13, 5, 5, 1, 4, 1, 1, 3, 16, 7, 1, 1, 5, 1, 1, 2, 4, 1, 6, 1, 1, 1, 5, 3, 1, 1, 3, 1, 8, 1, 2, 1, 2, 9, 1, 1, 3, 1, 5, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 4, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 16, 2, 7, 1, 1, 2, 3, 1, 17, 3, 1, 4, 2, 1, 1, 2, 1, 1, 3, 2, 1, 1, 1, 3, 3, 1, 2, 1, 1, 1, 1, 10, 3, 1, 1, 1, 4, 3, 3, 1, 1, 1, 1, 2, 2]",0.345625
4,[7],"[1, 20, 1, 8, 2, 2, 3, 3, 10, 4, 9, 1, 1, 1, 1, 1, 1, 2, 20, 1, 24, 4, 3, 4, 10, 1, 11, 6, 1, 7, 1, 1, 1, 1, 1, 2, 35, 1, 1, 4, 3, 1, 4, 1, 1, 6, 59, 1, 1, 14, 1, 1, 1, 3, 1, 4, 1, 1, 9, 1, 3, 8, 1, 6, 17, 5, 7, 1, 1, 7, 1, 1, 1, 7, 2, 4, 1, 11, 3, 5, 7, 1, 1, 3, 1, 1, 2, 1, 1, 1, 9, 1, 1, 4, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 6, 1, 1, 1, 2, 1, 24, 1, 1, 2, 1, 10, 1, 3, 1, 1, 1, 1, 23, 2, 1, 1, 3, 3, 1, 8, 1, 6, 1, 1, 4, 1, 1, 2, 1, 1, 5, 1, 1, 2, 8, 2, 1, 1, 1, 5, 11, 4, 1, 1, 2, 4, 1, 1, 1, 1, 2, 2, 1]",0.4075
5,"[3, 35]","[1, 15, 29, 3, 20, 2, 2, 3, 3, 17, 1, 1, 1, 23, 2, 1, 32, 4, 2, 3, 12, 29, 1, 7, 1, 1, 4, 1, 38, 1, 1, 4, 1, 4, 2, 1, 63, 1, 1, 1, 1, 1, 4, 2, 4, 1, 1, 1, 9, 1, 47, 1, 3, 1, 7, 1, 8, 2, 10, 6, 4, 1, 5, 7, 1, 4, 1, 4, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 49, 1, 1, 60, 1, 2, 5, 2, 1, 3, 1, 1, 3, 4, 3, 1, 8, 6, 1, 1, 2, 1, 1, 9, 1, 1, 2, 8, 2, 1, 1, 5, 1, 1, 4, 1, 1, 1, 1, 2, 1]",0.463125
6,[26],"[1, 18, 15, 32, 5, 29, 2, 2, 3, 3, 2, 1, 42, 2, 3, 13, 166, 1, 8, 1, 5, 1, 60, 1, 1, 4, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 9, 1, 1, 3, 1, 7, 4, 10, 1, 7, 1, 6, 1, 5, 13, 1, 4, 1, 8, 1, 4, 1, 5, 1, 1, 1, 57, 1, 1, 1, 80, 1, 10, 3, 1, 1, 1, 2, 1, 3, 1, 1, 5, 1, 8, 1, 1, 8, 6, 1, 2, 1, 12, 1, 2, 9, 1, 1, 1, 4, 1, 2, 1, 6, 1, 1]",0.499375
7,"[21, 145, 211]","[8, 79, 5, 2, 2, 1, 2, 1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 10, 31, 1, 1, 1, 4, 11, 1, 1, 6, 1, 2, 6, 16, 4, 1, 1, 4, 1, 95, 1, 1, 75, 1, 1, 1, 18, 1, 3, 1, 1, 1, 1, 5, 1, 9, 2, 2, 1, 12, 1, 2, 9, 1, 1, 1, 4, 1, 2, 6, 1, 1, 1]",0.5375
8,[229],"[8, 88, 1, 6, 2, 2, 1, 1, 1, 1, 2, 2, 6, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 4, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 2, 11, 2, 1, 1, 1, 1, 1, 1, 1, 9, 1, 2, 1, 1, 9, 16, 4, 1, 1, 7, 1, 2, 1, 1, 32, 1, 1, 1, 10, 1, 1, 2, 15, 1, 8, 12, 1, 1, 1, 2, 6, 1, 1]",0.3675
9,[29],"[10, 1, 92, 1, 1, 1, 1, 7, 3, 3, 1, 3, 1, 2, 1, 1, 1, 3, 3, 2, 7, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 3, 1, 2, 2, 1, 1, 1, 2, 2, 4, 2, 1, 2, 1, 4, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 5, 1, 1, 3, 2, 2, 1, 1, 13, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 9, 1, 1, 1, 2, 1, 1, 9, 2, 16, 5, 1, 1, 2, 1, 8, 3, 2, 1, 1, 1, 2, 32, 2, 1, 1, 1, 1, 2, 11, 1, 1, 1, 2, 1, 1, 1, 1, 1, 14, 1, 1, 3, 2, 1, 1, 8, 1, 2, 1, 1]",0.291875
