step,fire_size,cluster distr,mean tree density
0,[],"[2, 1, 1, 1, 1, 1, 1]",0.08
1,[],"[2, 2, 3, 1, 1, 2, 2, 1, 1, 1, 1]",0.17
2,[],"[2, 2, 3, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1]",0.21
3,[],"[2, 3, 4, 1, 1, 1, 3, 1, 2, 1, 8, 2, 1]",0.3
4,[],"[2, 3, 4, 1, 1, 3, 4, 3, 12, 2]",0.35
5,[],"[2, 3, 7, 2, 1, 3, 4, 3, 1, 14, 2]",0.42
6,[1],"[2, 3, 9, 7, 5, 3, 16, 2, 1]",0.49
7,[],"[13, 11, 6, 20, 2, 1]",0.53
8,[22],"[13, 22, 2, 1]",0.6
9,[],"[1, 13, 1, 26, 1, 1]",0.43
10,[],"[1, 13, 1, 30, 1]",0.46
11,[],"[2, 13, 1, 2, 32, 1]",0.51
12,[],"[1, 2, 14, 1, 39, 2, 1]",0.6
13,[60],"[1, 1, 2, 1, 1]",0.66
14,[],"[3, 5, 1, 2, 1, 1, 1, 1, 1]",0.16
15,[],"[3, 1, 6, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 2]",0.26
16,[2],"[4, 1, 7, 1, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 2]",0.31
17,[],"[4, 2, 7, 1, 1, 1, 2, 1, 3, 3, 1, 2, 1, 4, 2, 1, 2]",0.38
18,[2],"[4, 4, 7, 2, 1, 1, 2, 5, 1, 3, 1, 2, 1, 7, 1]",0.44
19,[4],"[4, 4, 7, 2, 1, 1, 3, 5, 1, 3, 2, 7, 1]",0.45
20,[],"[13, 4, 2, 9, 1, 7, 2, 7, 1, 1]",0.47
21,[22],"[4, 2, 12, 1, 9, 1]",0.51
22,[],"[6, 2, 1, 14, 1, 10, 1]",0.35
23,[],"[1, 11, 20, 13, 1]",0.46
24,[],"[1, 12, 34, 1]",0.48
25,[],"[2, 16, 37, 1]",0.56
26,[],"[2, 58]",0.6
27,[],"[2, 1, 60]",0.63
28,[],"[2, 1, 61]",0.64
29,[],"[3, 67]",0.7
30,[],"[3, 67]",0.7
31,[69],[3],0.72
32,[],"[3, 1, 1, 1, 1, 1, 2, 1, 1]",0.12
33,[3],"[4, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.19
34,[],"[4, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 2, 1, 1]",0.22
35,[],"[5, 1, 2, 2, 2, 1, 8, 1, 1, 1, 1, 1, 2, 1, 2, 1]",0.32
36,[],"[6, 1, 2, 4, 2, 1, 1, 8, 1, 1, 1, 6, 1, 1, 2, 1]",0.39
37,[],"[13, 1, 2, 4, 2, 1, 12, 1, 1, 1, 2, 2, 3, 1]",0.46
38,[],"[14, 1, 3, 4, 5, 14, 1, 4, 2, 3, 1]",0.52
39,[],"[14, 1, 3, 4, 20, 1, 4, 2, 3, 1]",0.53
40,[],"[40, 1, 3, 4, 1, 2, 4, 1]",0.56
41,[],"[45, 1, 3, 4, 1, 4, 1]",0.59
42,[],"[53, 1, 4, 4, 1]",0.63
43,[],"[65, 1, 1]",0.67
44,[],"[69, 1, 1]",0.71
45,[],"[74, 1]",0.75
46,[],"[77, 1]",0.78
47,[],"[77, 1]",0.78
48,[],"[79, 1]",0.8
49,[82],[1],0.83
50,[],"[2, 1, 1, 3, 1, 1, 1, 1]",0.11
51,[],"[4, 1, 1, 3, 2, 1, 4, 1, 1, 2, 2]",0.22
52,[],"[4, 1, 1, 1, 4, 2, 1, 1, 4, 1, 2, 2, 4]",0.28
53,[],"[4, 2, 1, 4, 5, 2, 1, 4, 8, 6, 1]",0.38
54,[],"[5, 2, 1, 5, 5, 2, 1, 4, 9, 7, 1, 1]",0.43
55,[],"[5, 2, 1, 5, 6, 2, 1, 4, 1, 10, 7, 1, 1]",0.46
56,[10],"[12, 2, 7, 1, 10, 7, 1, 1]",0.51
57,[],"[12, 2, 1, 1, 7, 1, 1, 22]",0.47
58,[],"[12, 2, 1, 1, 1, 2, 8, 1, 22]",0.5
59,[],"[14, 2, 3, 1, 2, 8, 1, 1, 23]",0.55
60,[],"[14, 2, 3, 1, 3, 9, 1, 26]",0.59
61,[],"[15, 10, 1, 9, 1, 27]",0.63
62,[],"[15, 10, 1, 9, 1, 28]",0.64
63,[],"[55, 1, 9, 1]",0.66
64,[56],"[1, 9, 1]",0.67
65,[],"[1, 1, 13, 1, 3, 2, 1, 1]",0.23
66,[],"[1, 1, 13, 4, 1, 1, 2, 1, 1, 1, 1, 2, 1]",0.3
67,[],"[1, 1, 13, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.36
68,"[4, 13]","[1, 6, 4, 1, 1, 1, 1, 1, 3, 2, 3, 1]",0.42
69,[],"[1, 6, 8, 1, 1, 1, 1, 1, 1, 11, 1, 4, 2, 1, 1]",0.41
70,[],"[1, 1, 16, 1, 1, 1, 1, 1, 1, 1, 17, 1, 2, 1]",0.46
71,[],"[1, 1, 16, 1, 1, 21, 1, 1, 1, 5, 1, 1]",0.51
72,[],"[1, 1, 40, 1, 3, 1, 1, 5, 1, 1]",0.55
73,[],"[2, 1, 58, 1, 1]",0.63
74,[],"[2, 1, 61, 1, 1]",0.66
75,[],"[2, 63, 1, 1]",0.67
76,[],"[68, 1]",0.69
77,[72],[],0.72
78,[],"[1, 1, 1, 1, 1, 1]",0.06
79,[],"[1, 1, 1, 1, 1, 1, 1, 1]",0.08
80,[],"[1, 2, 1, 1, 4, 3, 1, 4, 2, 1, 1]",0.21
81,[13],"[2, 2, 7, 1, 3, 2, 3, 2, 1, 1, 1]",0.38
82,[],"[2, 2, 7, 1, 4, 2, 9, 3, 1]",0.31
83,[],"[2, 2, 18, 1, 4, 2, 1, 1, 2, 5, 1, 1]",0.4
84,[],"[2, 2, 25, 7, 1, 1, 2, 5, 1, 1]",0.47
85,[],"[10, 2, 32, 1, 1, 2, 7]",0.55
86,[],"[10, 4, 44, 1, 1]",0.6
87,[],"[10, 4, 45, 1, 1]",0.61
88,[],"[16, 50, 1]",0.67
89,[51],"[18, 1]",0.7
90,[],"[18, 1, 2, 1, 2, 1, 1, 1, 1, 1]",0.29
91,[],"[19, 5, 2, 4, 2, 1, 1, 1]",0.35
92,[],"[20, 1, 5, 2, 5, 2, 1, 1, 2, 1, 1]",0.41
93,[29],"[1, 6, 2, 2, 1, 5, 1, 1]",0.48
94,[],"[1, 1, 7, 2, 2, 2, 1, 1, 6, 1, 1, 1]",0.26
95,[],"[1, 10, 1, 2, 3, 2, 1, 1, 1, 6, 1, 1, 1]",0.31
96,[],"[1, 14, 4, 3, 7, 2, 1, 6, 1, 1, 1]",0.41
97,[],"[21, 4, 7, 2, 1, 2, 6, 1, 1, 1]",0.46
98,[],"[21, 4, 10, 1, 1, 9, 1, 1, 1]",0.49
99,[],"[7, 35, 1, 1, 1, 1, 9, 1, 1, 1]",0.58
