step,fire_size,cluster distr,mean tree density
0,[2],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 2]",0.10444444444444445
1,[],"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 8, 1, 1, 2, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5, 1, 1, 1, 1, 2, 1, 1, 1, 5, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 5, 1, 3, 2, 2, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 3, 1, 1, 3, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 3, 4, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0.19111111111111112
2,"[2, 1]","[1, 1, 2, 2, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1, 5, 2, 1, 3, 3, 3, 2, 2, 1, 1, 1, 2, 9, 1, 1, 1, 4, 1, 2, 3, 1, 1, 11, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 6, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 4, 3, 1, 1, 1, 2, 1, 5, 1, 1, 3, 5, 2, 2, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 3, 1, 2, 1, 3, 1, 4, 2, 1, 1, 1, 1, 1, 5, 1, 2, 1, 1, 3, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0.26
3,[6],"[3, 1, 8, 1, 7, 1, 1, 1, 1, 1, 1, 8, 3, 1, 9, 3, 1, 4, 2, 1, 1, 1, 10, 1, 1, 1, 1, 4, 1, 2, 3, 1, 11, 1, 3, 1, 1, 1, 1, 1, 3, 2, 1, 1, 6, 1, 5, 3, 1, 1, 1, 2, 1, 1, 2, 10, 1, 1, 1, 4, 1, 1, 1, 2, 2, 5, 1, 4, 3, 5, 2, 7, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 5, 1, 1, 4, 1, 4, 3, 1, 1, 1, 4, 2, 1, 1, 6, 1, 1, 5, 3, 2, 1, 7, 1, 1, 1, 3, 1, 1, 1, 3, 1, 4, 2, 1, 1, 1, 1, 1]",0.32555555555555554
4,"[8, 5, 12]","[1, 4, 1, 8, 4, 2, 1, 8, 1, 1, 1, 1, 1, 3, 1, 9, 3, 1, 4, 5, 1, 1, 1, 1, 1, 10, 1, 1, 1, 4, 3, 2, 4, 1, 11, 1, 3, 1, 1, 1, 1, 1, 3, 2, 1, 1, 7, 1, 3, 1, 1, 1, 14, 1, 1, 1, 2, 2, 8, 1, 1, 1, 1, 1, 2, 1, 1, 4, 3, 5, 8, 1, 1, 1, 1, 7, 3, 1, 3, 1, 1, 1, 1, 5, 9, 1, 4, 1, 11, 3, 1, 1, 3, 4, 5, 3, 1, 1, 10, 3, 10, 1, 1, 3, 1, 1, 1, 4, 3, 1, 1, 1, 1, 1, 1, 1]",0.37333333333333335
5,[1],"[1, 1, 5, 1, 14, 2, 12, 1, 1, 2, 1, 1, 1, 1, 1, 3, 6, 1, 18, 4, 1, 1, 4, 1, 1, 2, 3, 1, 2, 12, 1, 1, 4, 3, 5, 14, 6, 1, 1, 1, 1, 3, 2, 1, 62, 7, 1, 3, 1, 4, 1, 3, 1, 5, 2, 17, 1, 2, 1, 1, 2, 1, 1, 1, 1, 4, 3, 1, 2, 1, 2, 1, 1, 1, 1, 7, 1, 1, 15, 1, 18, 1, 1, 1, 3, 6, 3, 1, 12, 12, 1, 1, 1, 1, 5, 1, 4, 3, 1, 1, 1, 1, 1]",0.43333333333333335
6,[1],"[1, 1, 5, 1, 14, 2, 13, 1, 1, 2, 1, 2, 7, 1, 1, 2, 3, 6, 21, 4, 1, 4, 1, 2, 20, 1, 12, 1, 1, 4, 3, 5, 6, 1, 1, 1, 1, 119, 2, 1, 1, 9, 1, 5, 1, 1, 3, 1, 2, 3, 3, 1, 4, 1, 1, 5, 3, 1, 2, 2, 1, 2, 1, 1, 1, 7, 1, 1, 15, 1, 26, 1, 1, 1, 1, 10, 3, 16, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 1]",0.4811111111111111
7,"[37, 138, 7]","[1, 1, 1, 34, 2, 15, 1, 1, 1, 2, 1, 1, 2, 7, 1, 1, 2, 3, 1, 4, 8, 22, 12, 7, 4, 1, 1, 1, 9, 2, 5, 1, 1, 8, 1, 3, 1, 6, 1, 1, 5, 7, 1, 1, 1, 8, 1, 15, 35, 4, 1, 11, 20, 2, 1, 10, 2, 1]",0.5388888888888889
8,"[28, 3]","[7, 3, 1, 39, 2, 30, 1, 1, 1, 3, 1, 8, 1, 1, 2, 4, 8, 1, 7, 4, 1, 3, 1, 1, 15, 5, 1, 71, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 10, 1, 1, 1, 49, 4, 1, 1, 1, 1, 2, 1, 10, 2, 1]",0.3977777777777778
9,"[1, 130]","[7, 4, 46, 2, 33, 2, 1, 5, 1, 10, 1, 1, 18, 4, 1, 1, 1, 22, 1, 1, 4, 1, 1, 6, 1, 1, 1, 1, 2, 1, 1, 2, 2, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 11, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 10, 1, 2, 1]",0.4222222222222222
10,[106],"[7, 4, 2, 10, 1, 1, 10, 1, 1, 4, 1, 1, 2, 26, 1, 1, 4, 1, 1, 1, 6, 1, 1, 1, 3, 3, 1, 1, 1, 1, 2, 2, 1, 1, 4, 1, 1, 2, 1, 3, 1, 1, 2, 12, 3, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 10, 1, 2, 1, 1]",0.34444444444444444
11,"[19, 27]","[7, 1, 1, 1, 2, 1, 10, 1, 2, 2, 1, 1, 1, 1, 4, 1, 5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 8, 1, 1, 3, 1, 3, 1, 1, 1, 1, 2, 2, 1, 1, 1, 12, 1, 2, 2, 1, 3, 1, 1, 1, 2, 16, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 3, 1, 2, 2, 10, 1, 2, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 14, 1, 4, 1, 1, 1, 2, 1, 2, 1, 1]",0.3011111111111111
12,"[8, 2]","[1, 12, 1, 2, 1, 11, 1, 1, 2, 3, 1, 1, 1, 1, 1, 6, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 2, 1, 1, 3, 1, 2, 2, 1, 2, 2, 10, 1, 6, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 3, 1, 12, 2, 2, 2, 1, 1, 3, 1, 2, 1, 3, 2, 16, 4, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 4, 1, 2, 1, 1, 1, 2, 3, 11, 2, 1, 2, 2, 2, 1, 18, 1, 2, 1, 1, 2, 4, 1, 2, 1, 2, 1, 2, 2, 1]",0.31555555555555553
13,[1],"[1, 12, 1, 4, 1, 12, 1, 1, 1, 2, 4, 1, 3, 7, 6, 1, 3, 1, 3, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 3, 9, 1, 1, 1, 2, 1, 1, 3, 1, 2, 4, 2, 1, 2, 13, 1, 7, 1, 3, 1, 1, 1, 1, 4, 1, 2, 2, 1, 1, 12, 2, 2, 3, 1, 12, 3, 1, 2, 1, 3, 2, 20, 1, 3, 1, 6, 2, 1, 1, 1, 3, 1, 1, 1, 1, 4, 1, 3, 1, 1, 1, 5, 1, 11, 3, 3, 2, 2, 1, 19, 2, 1, 2, 5, 1, 2, 1, 4, 1, 2, 2, 1]",0.36
14,"[9, 1, 5, 2]","[1, 21, 16, 1, 13, 1, 1, 1, 1, 2, 4, 1, 8, 2, 1, 3, 1, 3, 1, 1, 1, 1, 1, 13, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 4, 1, 2, 6, 2, 1, 1, 13, 1, 8, 1, 3, 1, 1, 1, 2, 18, 2, 4, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 12, 8, 1, 4, 3, 2, 23, 1, 10, 6, 1, 1, 3, 1, 1, 4, 1, 3, 1, 1, 1, 1, 6, 1, 12, 3, 6, 3, 2, 1, 20, 3, 1, 5, 2, 1, 1, 2, 1]",0.4177777777777778
15,[],"[1, 45, 16, 20, 1, 1, 5, 16, 4, 4, 1, 3, 1, 2, 1, 1, 1, 2, 5, 1, 4, 1, 13, 1, 7, 2, 1, 13, 1, 8, 3, 1, 1, 1, 2, 34, 2, 4, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 20, 1, 27, 2, 1, 14, 1, 1, 4, 1, 4, 4, 1, 1, 1, 2, 12, 1, 37, 16, 1, 1, 4, 3, 2, 8, 1, 1, 1, 1]",0.46555555555555556
16,"[6, 39]","[1, 74, 17, 21, 1, 1, 1, 28, 4, 8, 1, 1, 2, 1, 1, 1, 4, 1, 2, 1, 14, 8, 10, 2, 1, 1, 1, 2, 1, 38, 1, 1, 2, 1, 1, 2, 33, 1, 1, 22, 4, 1, 4, 1, 1, 4, 13, 1, 41, 18, 1, 1, 1, 4, 4, 8, 1, 2, 1, 1]",0.5233333333333333
17,"[232, 22, 36]","[1, 21, 1, 1, 7, 8, 1, 3, 1, 2, 1, 1, 1, 4, 1, 6, 14, 14, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 4, 17, 1, 43, 1, 6, 1, 1, 2, 1]",0.5311111111111111
18,[4],"[1, 1, 1, 22, 1, 1, 9, 1, 9, 1, 1, 1, 1, 1, 3, 1, 2, 1, 2, 1, 1, 4, 1, 1, 1, 7, 1, 1, 2, 1, 1, 1, 17, 1, 14, 1, 3, 1, 4, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 4, 5, 1, 1, 6, 1, 1, 2, 1, 20, 47, 1, 1, 6, 2, 1, 3, 1, 1]",0.28888888888888886
19,[4],"[1, 2, 12, 1, 26, 1, 1, 9, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 2, 2, 1, 5, 1, 1, 2, 24, 1, 2, 1, 1, 1, 2, 1, 1, 1, 19, 1, 4, 1, 6, 1, 4, 3, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 5, 5, 84, 1, 1, 6, 1, 1, 2, 2, 1, 2, 1, 1, 7, 1, 3, 1]",0.3622222222222222
20,[40],"[2, 2, 12, 1, 27, 1, 1, 1, 1, 1, 5, 10, 1, 1, 1, 1, 2, 4, 1, 3, 15, 1, 2, 1, 2, 1, 1, 5, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 6, 21, 1, 1, 6, 1, 4, 1, 1, 6, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 2, 8, 1, 1, 2, 1, 1, 7, 2, 5, 103, 1, 1, 1, 4, 2, 1, 1, 1, 7, 1, 3]",0.4255555555555556
21,"[21, 111, 1]","[2, 1, 3, 1, 16, 1, 27, 1, 1, 3, 5, 10, 1, 1, 1, 2, 5, 2, 4, 17, 1, 3, 2, 2, 9, 3, 1, 1, 7, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 7, 33, 7, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 2, 4, 1, 7, 2, 5, 1, 2, 9, 1, 1, 2, 3]",0.4477777777777778
