step,fire_size,cluster distr,mean tree density
0,"[1, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.1275
1,"[3, 1, 1]","[2, 2, 5, 1, 2, 1, 2, 5, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 2, 2, 10, 2, 7, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0.195
2,"[6, 3, 6, 2, 16, 9, 3]","[1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 4, 1, 2, 4, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2]",0.2625
3,"[5, 4, 5, 3, 2]","[1, 3, 1, 1, 1, 1, 1, 2, 1, 9, 1, 1, 1, 1, 3, 1, 2, 1, 2, 1, 2, 1, 7, 4, 1, 1, 1, 1, 5, 1, 1, 1, 1, 3, 1, 1, 6, 1, 1, 1, 1, 3]",0.2475
4,[10],"[1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 3, 1, 1, 2, 1, 2, 1, 8, 4, 1, 8, 2, 1, 2, 2, 2, 1, 1, 1, 1, 3, 1, 1, 3, 7, 1, 2, 1, 1, 1, 1, 3]",0.26
5,"[4, 2]","[1, 1, 1, 3, 1, 4, 2, 1, 3, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 3, 1, 5, 1, 3, 2, 1, 2, 9, 1, 4, 1, 9, 2, 1, 2, 14, 3, 1, 1, 1, 1, 1, 11, 2, 1, 3, 6, 1, 1]",0.33
6,"[7, 6, 4, 1]","[1, 2, 1, 3, 1, 4, 3, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 37, 1, 7, 2, 1, 2, 1, 11, 2, 2, 3, 1, 24, 4, 1, 1, 1, 3, 1, 1]",0.3925
7,"[3, 3, 69, 16, 1]","[6, 1, 2, 1, 3, 1, 5, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 8, 2, 1, 2, 1, 3, 4, 5, 1, 3, 1, 1]",0.4075
8,"[2, 8, 7, 1]","[1, 3, 1, 2, 1, 1, 1, 7, 2, 2, 1, 1, 1, 3, 1, 1, 3, 3, 1, 8, 1, 2, 1, 5, 1, 1, 2, 4, 2, 2, 1, 1, 6, 1, 3, 1, 1, 1, 1, 1, 1]",0.2525
9,"[5, 10, 15, 5]","[1, 9, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 3, 2, 1, 8, 1, 1, 3, 1, 1, 1, 1, 1, 3, 9, 2, 1, 2, 1, 1, 7, 4, 3, 3, 1, 1, 2, 1, 1, 1, 1]",0.3175
