step,fire_size,cluster distr,mean tree density
0,[],"[1, 1, 5, 1, 1, 1, 1]",0.11
1,[],"[1, 2, 1, 1, 5, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1]",0.25
2,[],"[1, 1, 2, 1, 1, 5, 3, 2, 3, 3, 2, 1, 2, 1, 1, 1, 1, 1]",0.32
3,[],"[1, 1, 11, 1, 3, 3, 1, 8, 3, 4, 4, 1, 1, 1, 1]",0.44
4,[],"[1, 21, 11, 1, 1, 5, 1, 3, 4, 1, 1, 1, 1]",0.52
5,[],"[1, 36, 1, 5, 1, 3, 6, 1, 1, 1]",0.56
6,[],"[1, 51, 1, 5, 1, 1, 1]",0.61
7,[],"[1, 52, 1, 5, 3, 1]",0.63
8,[],"[62, 4, 1]",0.67
9,[],"[68, 1]",0.69
10,[],[74],0.74
11,[],[79],0.79
12,[],[82],0.82
13,[84],[],0.84
14,[],"[1, 1, 1, 1, 1]",0.05
15,[],"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.13
16,[],"[1, 3, 1, 1, 1, 2, 1, 5, 1, 1, 1, 1, 1, 1]",0.21
17,[],"[3, 5, 1, 1, 1, 1, 2, 1, 1, 1, 1, 7, 1, 3, 1, 1, 1]",0.32
18,[],"[3, 7, 1, 1, 1, 2, 9, 1, 1, 1, 3, 2, 3, 1, 1, 1]",0.38
19,[],"[6, 8, 1, 1, 1, 11, 9, 1, 1, 2, 3, 1, 1, 1]",0.47
20,[45],"[1, 1, 1, 1, 1, 3, 1, 1]",0.55
21,[],"[1, 3, 1, 1, 1, 1, 1, 1, 4, 1, 1]",0.16
22,[],"[1, 4, 3, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 2]",0.24
23,[],"[4, 1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 5, 3, 3]",0.31
24,[7],"[4, 1, 1, 11, 1, 7, 1, 1, 3, 5]",0.42
25,[],"[4, 1, 1, 16, 1, 11, 1, 1, 1, 6]",0.43
26,[],"[27, 1, 1, 2, 11, 1, 6]",0.49
27,[],"[35, 1, 1, 1, 1, 2, 12, 1]",0.54
28,[],"[38, 1, 1, 1, 2, 12, 1]",0.56
29,[],"[42, 1, 1, 2, 12, 1]",0.59
30,[52],"[12, 1]",0.65
31,[],"[1, 1, 1, 1, 12, 1, 1, 1, 1]",0.2
32,[],"[2, 1, 1, 2, 3, 2, 13, 1, 1, 1, 2]",0.29
33,[],"[2, 1, 2, 1, 5, 5, 2, 13, 1, 1, 1, 1, 2]",0.37
34,[],"[3, 3, 10, 1, 1, 7, 3, 15, 1, 1, 1, 2]",0.48
35,[],"[6, 3, 10, 1, 8, 16, 3, 1, 1, 1, 2]",0.52
36,[],"[50, 5, 1, 1, 1, 2]",0.6
37,[],"[56, 1, 1, 1, 1, 2]",0.62
38,[],"[60, 4, 1, 2]",0.67
39,[],"[60, 5, 1, 2]",0.68
40,[],"[64, 5, 2]",0.71
41,[],"[74, 3]",0.77
42,[],"[78, 4]",0.82
43,[],"[79, 4]",0.83
44,[],"[79, 4]",0.83
45,[85],[],0.85
46,[],"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.09
47,[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.14
48,[],"[1, 5, 1, 4, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1]",0.23
49,[],"[8, 1, 4, 1, 2, 3, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1]",0.32
50,[],"[9, 5, 1, 1, 2, 1, 3, 1, 3, 1, 2, 3, 1, 1, 2, 1, 1]",0.38
51,[],"[11, 2, 5, 1, 2, 1, 3, 1, 3, 1, 3, 5, 1, 1, 2, 1]",0.43
52,[],"[14, 13, 5, 1, 1, 3, 3, 5, 1, 1, 2, 1]",0.5
53,[],"[15, 15, 5, 1, 1, 3, 3, 5, 1, 1, 2, 1, 1]",0.54
