fire_size
1
1
1
1
4
1
2
1
5
1
0
3
1
0
1
1
1
0
2
3
1
2
4
4
1
1
2
6
1
0
6
1
6
4
9
3
6
5
1
7
13
5
1
1
2
1
5
5
1
2
0
4
1
7
0
6
3
2
2
14
2
4
11
0
18
1
21
0
3
3
0
3
28
0
0
4
5
34
4
11
85
18
12
6
3
48
11
30
0
34
2
1
10
18
25
0
36
38
0
47
0
0
0
0
3
5
19
10
8
35
2
15
159
15
0
24
16
2
1
158
7
1
15
72
195
98
20
0
61
0
71
18
387
160
38
60
0
1
98
48
97
0
290
0
88
2
280
72
377
0
55
684
52
40
159
521
8
25
15
1008
102
43
550
479
95
11
299
0
1403
16
0
0
0
600
0
24
211
10
9
0
113
16
6
597
3
1
74
17
4
2558
8
419
1
1
0
101
218
514
1
713
0
603
196
396
5
87
275
0
5
3
2
0
79
2
0
1924
4
1661
3
22
0
46
1170
1
0
13
1
121
453
3
3
0
61
0
97
5
0
4
715
0
2
0
1
2
0
88
4
37
4
6
20
2
2
338
2
2
18
0
4
8
1251
7
3
124
3
5
1
5
355
9
0
645
270
4
19
1
0
0
0
2
0
1
12
0
1
63
2
0
3
2
0
10
364
2
16
367
11
6
4
327
211
138
0
2
1
2
1
0
64
1
2
126
1
11
10
59
139
244
103
113
111
0
5
1
244
69
38
209
4
3
1
0
5
18
56
60
815
17
8
0
12
6
17
8
93
1
765
22
1
4
618
0
127
1
0
31
46
0
96
0
0
0
336
2
7
342
0
395
9
32
2
3
4
64
75
0
9
1523
0
82
2
1
0
1
11
5
1
131
236
0
48
2
5
8
252
2
0
432
779
177
2
4
1
561
8
190
45
273
13
0
924
159
40
4
27
6
0
203
9
5
110
0
2
444
12
0
8
0
68
26
1
0
4
1
13
65
1
4
7
15
699
1
4
13
0
2
0
0
13
228
203
147
320
3
2
1242
9
1
158
28
723
2
1
3
0
308
317
0
5
0
0
842
34
95
5
67
171
0
0
153
371
103
10
2
10
286
622
6
88
46
1
1
1078
142
25
0
0
26
0
10
589
1
246
0
85
786
360
178
3
0
2
151
771
58
0
1
243
808
0
134
21
6
0
2
0
18
164
52
97
37
0
541
11
100
10
72
95
0
3
0
1
0
2
1
60
0
0
11
17
0
24
0
48
0
66
69
51
1718
23
290
6
15
0
934
1
2
1
5
1
2
14
1
1163
21
84
219
5
0
122
0
0
49
8
932
136
0
565
0
7
114
0
7
1
0
27
42
5
49
13
1
5
272
0
8
28
4
4
7
66
11
9
892
0
83
0
0
0
612
16
110
15
0
4
35
0
7
282
0
20
66
0
215
4
18
40
270
1
154
716
15
25
413
1
10
587
20
35
5
3
15
1
33
8
432
11
0
0
1
2
0
88
3
0
12
207
8
4
23
8
0
0
225
2
9
17
1
0
2
468
0
6
1
0
69
21
12
0
0
2
3
88
365
0
69
20
0
18
306
0
54
0
0
6
26
0
5
43
0
7
0
0
4
1
63
13
158
1
12
26
0
17
4
0
0
0
10
17
325
2
12
175
13
0
10
797
0
0
29
134
44
547
476
2
356
12
2
146
6
7
12
8
632
75
228
1
0
278
7
0
