step,fire_size,cluster distr,mean tree density
0,[],"[2, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 4, 1, 2, 2, 1, 1, 1, 3, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 3, 3, 2, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 4, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 3, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 7, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 5, 2, 1, 1, 2, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 5, 1, 2, 2, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.107
1,[],"[2, 1, 1, 3, 1, 2, 1, 1, 1, 1, 4, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 6, 1, 1, 3, 2, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 2, 1, 1, 4, 2, 1, 1, 1, 1, 1, 4, 1, 2, 2, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 3, 2, 1, 1, 2, 2, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 1, 1, 1, 3, 2, 1, 1, 1, 2, 3, 4, 4, 1, 1, 1, 1, 1, 3, 3, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 9, 1, 3, 3, 1, 2, 1, 4, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 3, 1, 2, 1, 3, 6, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 2, 1, 6, 1, 6, 1, 1, 1, 1, 2, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 7, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 3, 1, 1, 1, 2, 2, 1, 1, 10, 5, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 4, 2, 1, 1, 2, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 3, 4, 1, 1, 2, 2, 1, 1, 1, 8, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 2, 1, 6, 5, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 2, 1, 8, 3, 1, 1, 3, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 4, 1, 1, 1, 2, 1, 5, 1, 1, 1, 1, 1, 1, 2, 6, 1, 3, 2, 1, 2, 1, 2, 2, 1, 1, 2, 3, 2, 1, 2, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 4, 2, 2, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 4, 2, 1, 1, 3, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 4, 1, 1, 1, 3, 1, 1, 3, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 4, 2, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 4, 1, 1, 1, 1, 2, 3, 1, 1, 4, 3, 1, 2, 1, 4, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 2, 1, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 4, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 3, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 1, 5, 1, 1, 4, 2, 2, 1, 1, 1, 2, 3, 1, 1, 1, 3, 1, 1, 2, 1, 1, 6, 3, 2, 1, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 7, 1, 1, 1, 1, 2, 2, 1, 1, 8, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 4, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 2, 1, 1, 3, 4, 5, 1, 1, 1, 1, 1, 3, 1, 1, 1, 8, 1, 1, 1, 3, 1, 2, 1, 1, 2, 2, 3, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 8, 1, 1, 1, 1, 1, 2, 5, 1, 2, 2, 3, 1, 1, 1, 1, 10, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 5, 2, 4, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 4, 1, 1, 4, 1, 3, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 8, 4, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 6, 6, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 6, 1, 1, 5, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 4, 1, 1, 1, 1, 4, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 2, 1, 1, 4, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 5, 2, 3, 1, 1, 2, 1, 2, 1, 2, 1, 1, 3, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 2, 1, 4, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 3, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 3, 1, 2, 2, 1, 2, 1, 3, 5, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 2, 1, 5, 1, 1, 1, 8, 3, 1, 1, 1, 2, 1, 2, 3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 6, 2, 2, 1, 2, 1, 1, 3, 1, 4, 4, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1]",0.1918
2,[],"[2, 1, 2, 3, 3, 2, 8, 1, 2, 5, 5, 5, 1, 1, 1, 2, 1, 1, 4, 3, 1, 2, 6, 3, 1, 2, 1, 1, 1, 3, 1, 2, 3, 3, 2, 1, 2, 7, 2, 1, 1, 1, 2, 4, 3, 5, 1, 6, 2, 1, 1, 1, 4, 4, 1, 2, 1, 2, 1, 5, 1, 1, 1, 3, 2, 1, 6, 1, 4, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 3, 1, 7, 2, 1, 2, 5, 2, 1, 2, 1, 1, 1, 3, 1, 2, 5, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 2, 7, 3, 3, 1, 1, 4, 2, 1, 4, 2, 1, 1, 2, 2, 1, 1, 2, 1, 3, 1, 1, 6, 14, 1, 9, 1, 4, 4, 1, 2, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 10, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 3, 2, 1, 2, 5, 1, 2, 6, 1, 2, 1, 1, 2, 1, 1, 2, 1, 4, 1, 1, 4, 11, 1, 13, 1, 7, 1, 1, 9, 1, 2, 2, 1, 2, 1, 7, 2, 4, 3, 25, 1, 1, 3, 2, 1, 4, 2, 1, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 1, 5, 2, 2, 2, 5, 1, 1, 1, 3, 1, 7, 2, 1, 1, 3, 1, 1, 1, 4, 2, 1, 1, 1, 3, 1, 1, 1, 4, 1, 1, 2, 1, 1, 4, 1, 1, 1, 4, 4, 1, 1, 1, 1, 3, 2, 2, 3, 2, 1, 1, 11, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 3, 4, 1, 6, 7, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 2, 1, 7, 1, 1, 8, 1, 1, 2, 1, 2, 1, 1, 1, 5, 2, 1, 5, 2, 2, 1, 11, 3, 1, 1, 5, 5, 2, 1, 20, 3, 1, 7, 1, 1, 2, 1, 1, 5, 2, 2, 2, 1, 1, 10, 1, 1, 1, 1, 2, 2, 1, 2, 1, 3, 2, 1, 1, 1, 1, 1, 2, 3, 3, 1, 2, 4, 4, 1, 1, 1, 2, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 1, 1, 8, 2, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1, 1, 7, 1, 3, 4, 1, 1, 6, 4, 1, 2, 1, 2, 1, 1, 2, 1, 8, 2, 1, 1, 2, 2, 9, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 2, 1, 1, 3, 3, 4, 1, 1, 1, 1, 8, 1, 1, 1, 1, 4, 1, 3, 1, 1, 2, 2, 2, 1, 4, 1, 1, 1, 2, 6, 2, 3, 1, 3, 1, 1, 5, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 8, 3, 1, 2, 1, 7, 1, 1, 1, 1, 1, 6, 1, 1, 4, 1, 1, 2, 1, 2, 1, 5, 1, 3, 3, 1, 9, 1, 1, 1, 3, 1, 5, 1, 1, 4, 1, 1, 2, 2, 1, 4, 1, 2, 2, 2, 1, 4, 1, 1, 2, 3, 1, 1, 10, 2, 1, 1, 1, 2, 5, 1, 1, 1, 1, 2, 1, 2, 6, 5, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 8, 1, 5, 3, 1, 1, 1, 1, 3, 7, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 3, 6, 3, 3, 1, 1, 6, 1, 1, 2, 1, 11, 1, 3, 1, 1, 1, 4, 1, 2, 1, 1, 2, 1, 1, 13, 2, 2, 1, 2, 1, 4, 1, 3, 1, 1, 1, 3, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 9, 1, 5, 3, 2, 1, 4, 1, 1, 8, 1, 1, 5, 1, 1, 3, 1, 3, 1, 1, 1, 1, 2, 5, 5, 1, 6, 1, 1, 1, 1, 2, 3, 1, 2, 5, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 5, 1, 2, 1, 1, 3, 5, 7, 1, 1, 1, 1, 1, 5, 1, 1, 3, 1, 1, 1, 8, 1, 1, 1, 2, 1, 1, 4, 2, 3, 1, 3, 2, 3, 1, 3, 1, 1, 7, 3, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 4, 1, 3, 1, 3, 1, 6, 1, 6, 1, 1, 2, 3, 2, 1, 2, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 16, 4, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 3, 3, 2, 1, 1, 1, 1, 2, 2, 1, 3, 2, 7, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 2, 1, 1, 13, 5, 1, 1, 1, 1, 3, 5, 2, 1, 1, 1, 1, 5, 3, 2, 4, 1, 1, 10, 1, 1, 1, 1, 1, 1, 6, 1, 1, 8, 1, 5, 1, 1, 1, 2, 2, 1, 1, 1, 8, 1, 3, 7, 1, 7, 2, 1, 1, 1, 1, 2, 1, 1, 10, 8, 1, 1, 1, 2, 1, 1, 6, 2, 1, 3, 7, 1, 3, 2, 1, 1, 1, 1, 3, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 3, 2, 2, 1, 7, 6, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 1, 2, 3, 6, 2, 1, 3, 1, 6, 1, 3, 1, 1, 2, 3, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5, 2, 1, 5, 4, 1, 1, 1, 1, 1, 1, 5, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 5, 1, 2, 5, 1, 1, 1, 1, 3, 2, 1, 7, 8, 1, 2, 2, 1, 5, 5, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 2, 1, 2, 1, 1, 3, 1, 4, 1, 2, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 4, 2, 7, 2, 6, 1, 2, 5, 1, 1, 3, 1, 2, 4, 1, 1, 1, 1, 7, 1, 1, 5, 2, 1, 2, 1, 1, 1, 4, 1, 1, 2, 2, 5, 2, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 2, 4, 1, 1, 1, 7, 5, 1, 2, 2, 1, 4, 1, 2, 4, 2, 3, 1, 1, 1, 2, 3, 2, 1, 2, 3, 5, 4, 1, 1, 3, 1, 2, 1, 1, 1, 1, 10, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 7, 1, 3, 1, 5, 1, 1, 1, 5, 1, 1, 1, 1, 9, 3, 3, 2, 1, 2, 1, 2, 3, 3, 1, 2, 1, 1, 3, 2, 2, 4, 8, 2, 2, 1, 4, 1, 2, 7, 1, 1, 5, 5, 2, 1, 4, 1, 4, 3, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2]",0.2758
3,[],"[2, 4, 1, 4, 3, 22, 2, 7, 9, 1, 2, 5, 6, 6, 1, 1, 1, 1, 2, 2, 1, 1, 8, 3, 1, 28, 2, 3, 1, 4, 1, 1, 1, 1, 3, 2, 1, 2, 3, 2, 7, 1, 1, 1, 2, 5, 5, 1, 2, 1, 7, 1, 1, 4, 4, 2, 1, 3, 1, 5, 1, 1, 3, 2, 6, 1, 4, 1, 1, 1, 1, 5, 1, 1, 1, 2, 2, 13, 2, 3, 7, 1, 1, 2, 1, 2, 1, 3, 1, 1, 1, 1, 3, 6, 3, 2, 1, 4, 1, 2, 6, 1, 2, 4, 4, 2, 27, 3, 1, 1, 3, 3, 11, 3, 1, 4, 2, 1, 4, 2, 4, 1, 1, 1, 1, 1, 4, 1, 1, 4, 4, 1, 9, 1, 4, 1, 6, 1, 2, 1, 1, 4, 1, 2, 1, 1, 1, 3, 1, 3, 11, 1, 1, 1, 1, 3, 1, 6, 1, 1, 4, 1, 2, 1, 1, 2, 1, 3, 1, 1, 1, 2, 5, 2, 11, 1, 6, 1, 1, 3, 18, 3, 1, 2, 1, 1, 2, 1, 1, 3, 1, 13, 7, 1, 1, 9, 13, 1, 1, 2, 1, 4, 1, 2, 3, 1, 2, 1, 7, 2, 49, 1, 1, 3, 4, 4, 2, 3, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 5, 2, 2, 1, 1, 1, 3, 1, 1, 9, 2, 1, 3, 1, 1, 4, 2, 1, 1, 1, 1, 6, 1, 3, 1, 1, 1, 1, 4, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 4, 1, 1, 1, 1, 1, 6, 10, 1, 4, 2, 3, 1, 1, 3, 1, 11, 1, 1, 2, 2, 2, 3, 1, 1, 4, 17, 3, 1, 1, 3, 7, 1, 7, 1, 1, 11, 4, 1, 1, 3, 9, 2, 1, 2, 1, 7, 1, 2, 1, 2, 2, 11, 5, 3, 3, 32, 1, 5, 3, 1, 3, 1, 1, 18, 3, 1, 1, 1, 9, 2, 1, 11, 2, 1, 1, 2, 1, 2, 1, 1, 1, 15, 1, 2, 5, 2, 2, 1, 2, 1, 1, 1, 1, 1, 3, 2, 3, 2, 5, 4, 1, 1, 1, 1, 1, 1, 5, 2, 3, 1, 2, 3, 1, 1, 1, 4, 1, 2, 4, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 4, 1, 1, 17, 2, 1, 1, 1, 1, 11, 3, 1, 1, 1, 2, 3, 1, 3, 1, 1, 2, 3, 1, 4, 4, 7, 1, 5, 5, 1, 1, 1, 7, 4, 1, 2, 1, 3, 1, 5, 2, 1, 1, 2, 9, 1, 5, 2, 1, 5, 2, 1, 1, 7, 17, 3, 1, 1, 1, 4, 1, 1, 1, 8, 3, 1, 4, 1, 1, 1, 1, 1, 11, 1, 1, 1, 3, 4, 1, 3, 1, 2, 2, 5, 6, 1, 2, 1, 1, 3, 2, 3, 1, 3, 4, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 11, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 3, 2, 4, 15, 1, 7, 8, 1, 1, 12, 1, 1, 7, 1, 1, 4, 1, 1, 1, 3, 1, 5, 1, 3, 1, 21, 1, 1, 1, 1, 3, 7, 6, 1, 1, 1, 1, 1, 3, 2, 1, 5, 1, 3, 2, 1, 4, 1, 1, 2, 1, 1, 1, 1, 10, 2, 1, 1, 1, 2, 1, 1, 1, 2, 9, 1, 1, 2, 1, 2, 6, 5, 4, 2, 1, 2, 1, 1, 3, 6, 1, 1, 2, 10, 1, 13, 1, 2, 1, 2, 3, 2, 1, 5, 10, 2, 1, 1, 2, 3, 1, 1, 4, 1, 1, 3, 7, 5, 3, 1, 2, 2, 1, 2, 13, 1, 6, 1, 1, 3, 1, 1, 5, 1, 1, 1, 1, 24, 4, 1, 2, 1, 2, 7, 7, 7, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 1, 1, 1, 1, 9, 1, 12, 4, 2, 1, 10, 1, 1, 8, 1, 1, 1, 6, 5, 2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 12, 1, 1, 1, 1, 2, 4, 1, 2, 2, 3, 1, 1, 1, 4, 3, 4, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 5, 1, 1, 3, 8, 1, 8, 1, 4, 1, 1, 1, 9, 1, 7, 1, 1, 1, 3, 8, 1, 1, 1, 1, 1, 4, 2, 3, 2, 3, 2, 4, 3, 1, 1, 1, 10, 3, 1, 3, 1, 3, 1, 2, 1, 1, 1, 4, 1, 5, 1, 2, 2, 1, 1, 1, 8, 3, 3, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 2, 9, 3, 1, 4, 3, 8, 2, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 2, 1, 1, 20, 1, 5, 1, 1, 1, 3, 1, 1, 4, 1, 2, 1, 1, 3, 4, 2, 2, 1, 1, 1, 1, 2, 3, 1, 3, 2, 7, 1, 3, 1, 1, 2, 1, 7, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 9, 1, 1, 1, 2, 2, 1, 1, 18, 5, 2, 1, 23, 1, 1, 3, 5, 1, 1, 1, 1, 1, 14, 2, 5, 1, 1, 1, 1, 1, 1, 3, 2, 8, 1, 1, 21, 1, 5, 1, 3, 1, 2, 1, 1, 8, 1, 4, 7, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 8, 9, 1, 2, 1, 2, 1, 6, 1, 3, 1, 3, 9, 1, 3, 1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 3, 2, 1, 2, 2, 1, 7, 7, 1, 1, 1, 2, 1, 6, 2, 1, 2, 3, 8, 2, 1, 3, 1, 1, 6, 1, 3, 1, 1, 2, 3, 7, 4, 1, 1, 1, 1, 2, 1, 3, 2, 1, 1, 3, 5, 6, 2, 1, 5, 5, 1, 1, 1, 1, 8, 1, 1, 1, 15, 1, 4, 2, 2, 2, 1, 1, 2, 1, 1, 12, 7, 1, 1, 5, 5, 1, 5, 2, 3, 3, 2, 1, 7, 1, 1, 2, 1, 5, 5, 5, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 3, 1, 1, 5, 1, 1, 1, 3, 1, 1, 1, 1, 1, 6, 1, 1, 1, 5, 1, 6, 1, 1, 3, 1, 5, 2, 7, 2, 6, 2, 1, 5, 1, 1, 10, 5, 1, 3, 1, 7, 2, 2, 6, 3, 1, 2, 2, 1, 4, 1, 3, 1, 1, 2, 2, 5, 2, 1, 1, 4, 6, 2, 2, 4, 3, 2, 2, 3, 1, 4, 1, 1, 8, 1, 3, 4, 2, 6, 2, 3, 1, 2, 1, 1, 2, 3, 3, 2, 3, 5, 4, 1, 1, 3, 1, 8, 1, 1, 2, 1, 21, 1, 1, 1, 10, 1, 1, 1, 1, 3, 1, 2, 2, 10, 1, 5, 4, 1, 9, 1, 1, 1, 1, 1, 1, 11, 4, 1, 2, 4, 2, 8, 2, 1, 10, 1, 1, 3, 1, 2, 6, 2, 1, 5, 3, 1, 1, 5, 5, 1, 1, 4, 1, 4, 3, 2, 5, 3, 2, 3, 3, 1, 1, 2, 4, 1, 1, 1, 2, 1, 1, 1, 2]",0.345
